學校名稱,科系,地址,官方網站
國立高雄科技大學,機電工程系精密機械組(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,機電工程系智慧自動化組(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,營建工程系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,環境與安全衛生工程系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,電腦與通訊工程系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,電子工程系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,工業設計系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,運籌管理系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,財務管理系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,行銷與流通管理系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,金融系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,風險管理與保險系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,資訊管理系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
